/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:3.6 CYCLES:210 ICOUNT:58 IHITRATE: 86.9 DHITRATE: 30.8
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.3 CYCLES:2377 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 83.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.2 CYCLES:2322 ICOUNT:1035 IHITRATE: 85.6 DHITRATE: 89.5
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.2 CYCLES:2257 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 97.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.2 CYCLES:2307 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 91.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.3 CYCLES:2367 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 84.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.3 CYCLES:2377 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 83.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.3 CYCLES:2372 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 84.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.3 CYCLES:2402 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 81.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.2 CYCLES:2327 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 88.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.2 CYCLES:2317 ICOUNT:1035 IHITRATE: 85.6 DHITRATE: 90.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.3 CYCLES:2377 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 83.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.2 CYCLES:2322 ICOUNT:1035 IHITRATE: 85.6 DHITRATE: 89.5
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.2 CYCLES:2257 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 97.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.2 CYCLES:2307 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 91.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2367 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 84.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.3 CYCLES:2377 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 83.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.3 CYCLES:2372 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 84.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.3 CYCLES:2402 ICOUNT:1035 IHITRATE: 85.5 DHITRATE: 81.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.2 CYCLES:2327 ICOUNT:1035 IHITRATE: 85.7 DHITRATE: 88.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.2 CYCLES:2317 ICOUNT:1035 IHITRATE: 85.6 DHITRATE: 90.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:2.6 CYCLES:267 ICOUNT:102 IHITRATE: 87.5 DHITRATE: 51.4
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:9.6 CYCLES:29 ICOUNT:3 IHITRATE: 52.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:3.3 CYCLES:33 ICOUNT:10 IHITRATE: 37.9 DHITRATE: 50.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:5.7 CYCLES:40 ICOUNT:7 IHITRATE: 30.6 DHITRATE: 33.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:3.4 CYCLES:31 ICOUNT:9 IHITRATE: 33.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:5.7 CYCLES:40 ICOUNT:7 IHITRATE: 30.6 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:3.3 CYCLES:33 ICOUNT:10 IHITRATE: 37.9 DHITRATE: 50.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:5.7 CYCLES:40 ICOUNT:7 IHITRATE: 30.6 DHITRATE: 33.3
